REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New Hampshire,2010,50,4,31,5640
States,New Jersey,2010,50,210,25,6561
States,New Mexico,2010,50,221,25,8115
States,New York,2010,50,357,102,13316
States,North Carolina,2010,50,119,74,18927
States,North Dakota,2010,50,6,11,1889
States,Ohio,2010,50,69,52,15455
States,Oklahoma,2010,50,111,17,3261
States,Oregon,2010,50,35,19,2509
States,Pennsylvania,2010,50,196,58,14447
States,Rhode Island,2010,50,30,21,6408
States,South Carolina,2010,50,41,17,5098
States,South Dakota,2010,50,51,19,5392
States,Tennessee,2010,50,121,51,8778
States,Texas,2010,50,1350,88,47519
States,Utah,2010,50,78,21,6993
States,Vermont,2010,50,50,14,3716
States,Virginia,2010,50,945,83,53894
States,Washington,2010,50,14,16,2162
States,West Virginia,2010,50,121,34,8545
States,Wisconsin,2010,50,31,50,4685
States,Wyoming,2010,50,15,28,4811
States,Alabama,2010,51,1297,36,9910
States,Alaska,2010,51,15,8,1760
States,Arizona,2010,51,454,53,19716
States,Arkansas,2010,51,77,15,2132
States,California,2010,51,1057,127,22875
States,Colorado,2010,51,123,12,14757
States,Connecticut,2010,51,19,19,2175
States,Delaware,2010,51,13,11,2578
States,Georgia,2010,51,2489,63,34195
States,Hawaii,2010,51,19,17,857
States,Idaho,2010,51,102,12,3182
States,Illinois,2010,51,1039,79,33621
States,Indiana,2010,51,100,41,7337
States,Iowa,2010,51,44,10,2123
States,Kansas,2010,51,75,42,7741
States,Kentucky,2010,51,148,14,11496
States,Louisiana,2010,51,588,25,15367
States,Maine,2010,51,25,30,4170
States,Maryland,2010,51,174,17,6355
States,Massachusetts,2010,51,268,49,20513
States,Michigan,2010,51,74,47,10820
States,Minnesota,2010,51,39,15,3853
States,Mississippi,2010,51,1775,45,16410
States,Missouri,2010,51,154,32,6573
States,Montana,2010,51,1,6,1602
States,Nebraska,2010,51,62,15,2792
States,Nevada,2010,51,495,37,14274
States,New Hampshire,2010,51,10,31,4110
States,New Jersey,2010,51,264,25,5685
